12.515202313261163, 0, 1, 2, 3, 4, 5, 6,
11.905781174323554, 0, 1, 2, 3, 4, 6, 5,
12.148074955901578, 0, 1, 2, 3, 5, 4, 6,
12.086520473591326, 0, 1, 2, 3, 5, 6, 4,
14.434123993992852, 0, 1, 2, 3, 6, 4, 5,
13.097694038494662, 0, 1, 2, 3, 6, 5, 4,
14.746041706353159, 0, 1, 2, 4, 3, 5, 6,
11.450703780180982, 0, 1, 2, 4, 3, 6, 5,
13.391757444123062, 0, 1, 2, 4, 5, 3, 6,
13.85022662778527, 0, 1, 2, 4, 5, 6, 3,
14.366813121913136, 0, 1, 2, 4, 6, 3, 5,
13.513900650901686, 0, 1, 2, 4, 6, 5, 3,
15.349562696529295, 0, 1, 2, 5, 3, 4, 6,
14.321889398386045, 0, 1, 2, 5, 3, 6, 4,
13.209826901432283, 0, 1, 2, 5, 4, 3, 6,
14.899097465570488, 0, 1, 2, 5, 4, 6, 3,
17.49767123406414, 0, 1, 2, 5, 6, 3, 4,
14.754182483502547, 0, 1, 2, 5, 6, 4, 3,
19.033155864238097, 0, 1, 2, 6, 3, 4, 5,
16.059360358806124, 0, 1, 2, 6, 3, 5, 4,
13.784842546757812, 0, 1, 2, 6, 4, 3, 5,
13.414324219325017, 0, 1, 2, 6, 4, 5, 3,
13.286504989004591, 0, 1, 2, 6, 5, 3, 4,
14.163793494951676, 0, 1, 2, 6, 5, 4, 3,
12.5394891938286, 0, 1, 3, 2, 4, 5, 6,
10.551147787512859, 0, 1, 3, 2, 4, 6, 5,
12.744383782907326, 0, 1, 3, 2, 5, 4, 6,
12.708968092352293, 0, 1, 3, 2, 5, 6, 4,
13.430984730768976, 0, 1, 3, 2, 6, 4, 5,
11.062862170142608, 0, 1, 3, 2, 6, 5, 4,
15.897943457775266, 0, 1, 3, 4, 2, 5, 6,
11.58103644607785, 0, 1, 3, 4, 2, 6, 5,
10.05839387038749, 0, 1, 3, 4, 5, 2, 6,
10.529679334516526, 0, 1, 3, 4, 5, 6, 2,
14.279206998279285, 0, 1, 3, 4, 6, 2, 5,
10.538802839218153, 0, 1, 3, 4, 6, 5, 2,
12.264510379648506, 0, 1, 3, 5, 2, 4, 6,
12.0705451010103, 0, 1, 3, 5, 2, 6, 4,
14.783671743115208, 0, 1, 3, 5, 4, 2, 6,
11.275530248673535, 0, 1, 3, 5, 4, 6, 2,
12.646907636471454, 0, 1, 3, 5, 6, 2, 4,
12.886012736515223, 0, 1, 3, 5, 6, 4, 2,
14.347173430103176, 0, 1, 3, 6, 2, 4, 5,
13.438742463782, 0, 1, 3, 6, 2, 5, 4,
14.691815219564539, 0, 1, 3, 6, 4, 2, 5,
10.916406760234445, 0, 1, 3, 6, 4, 5, 2,
11.165763512066421, 0, 1, 3, 6, 5, 2, 4,
12.775823399538993, 0, 1, 3, 6, 5, 4, 2,
10.442406020339147, 0, 1, 4, 2, 3, 5, 6,
9.962998387614686, 0, 1, 4, 2, 3, 6, 5,
14.907613958851968, 0, 1, 4, 2, 5, 3, 6,
14.934344887387889, 0, 1, 4, 2, 5, 6, 3,
14.100688353423948, 0, 1, 4, 2, 6, 3, 5,
12.063120551797914, 0, 1, 4, 2, 6, 5, 3,
12.751367856628459, 0, 1, 4, 3, 2, 5, 6,
9.883864947097226, 0, 1, 4, 3, 2, 6, 5,
11.460174282710906, 0, 1, 4, 3, 5, 2, 6,
12.371284275606003, 0, 1, 4, 3, 5, 6, 2,
12.73771708085303, 0, 1, 4, 3, 6, 2, 5,
9.711033115752146, 0, 1, 4, 3, 6, 5, 2,
10.660443377343881, 0, 1, 4, 5, 2, 3, 6,
12.105641103083082, 0, 1, 4, 5, 2, 6, 3,
12.252373710342477, 0, 1, 4, 5, 3, 2, 6,
11.566003903075398, 0, 1, 4, 5, 3, 6, 2,
12.270236296063922, 0, 1, 4, 5, 6, 2, 3,
14.12427747306867, 0, 1, 4, 5, 6, 3, 2,
11.464744076211987, 0, 1, 4, 6, 2, 3, 5,
15.896741423610385, 0, 1, 4, 6, 2, 5, 3,
14.120704606036659, 0, 1, 4, 6, 3, 2, 5,
13.277447105303246, 0, 1, 4, 6, 3, 5, 2,
10.932395311741217, 0, 1, 4, 6, 5, 2, 3,
13.138752212011209, 0, 1, 4, 6, 5, 3, 2,
10.377500859936248, 0, 1, 5, 2, 3, 4, 6,
12.95710007225868, 0, 1, 5, 2, 3, 6, 4,
13.89953165076085, 0, 1, 5, 2, 4, 3, 6,
14.093543411380736, 0, 1, 5, 2, 4, 6, 3,
15.307544929978713, 0, 1, 5, 2, 6, 3, 4,
12.973942563990466, 0, 1, 5, 2, 6, 4, 3,
13.820368994644905, 0, 1, 5, 3, 2, 4, 6,
13.804735699363768, 0, 1, 5, 3, 2, 6, 4,
14.67559544130882, 0, 1, 5, 3, 4, 2, 6,
12.419996188529765, 0, 1, 5, 3, 4, 6, 2,
14.894691916653994, 0, 1, 5, 3, 6, 2, 4,
13.933608331155774, 0, 1, 5, 3, 6, 4, 2,
13.672632698448574, 0, 1, 5, 4, 2, 3, 6,
15.477579520681735, 0, 1, 5, 4, 2, 6, 3,
11.066414573731924, 0, 1, 5, 4, 3, 2, 6,
11.11055151978588, 0, 1, 5, 4, 3, 6, 2,
11.458448964689072, 0, 1, 5, 4, 6, 2, 3,
12.806486650130793, 0, 1, 5, 4, 6, 3, 2,
10.892482077749102, 0, 1, 5, 6, 2, 3, 4,
13.001330293727504, 0, 1, 5, 6, 2, 4, 3,
13.599631579242008, 0, 1, 5, 6, 3, 2, 4,
14.374478549678408, 0, 1, 5, 6, 3, 4, 2,
11.921034007627565, 0, 1, 5, 6, 4, 2, 3,
12.38034215930735, 0, 1, 5, 6, 4, 3, 2,
17.820714286590636, 0, 1, 6, 2, 3, 4, 5,
15.891412870725226, 0, 1, 6, 2, 3, 5, 4,
17.339460353579824, 0, 1, 6, 2, 4, 3, 5,
17.851408050705952, 0, 1, 6, 2, 4, 5, 3,
19.372431410577114, 0, 1, 6, 2, 5, 3, 4,
17.695311579863496, 0, 1, 6, 2, 5, 4, 3,
20.43781811549837, 0, 1, 6, 3, 2, 4, 5,
17.954413396996166, 0, 1, 6, 3, 2, 5, 4,
20.278775273954302, 0, 1, 6, 3, 4, 2, 5,
18.228174280147208, 0, 1, 6, 3, 4, 5, 2,
18.55469353843006, 0, 1, 6, 3, 5, 2, 4,
17.909459006348605, 0, 1, 6, 3, 5, 4, 2,
13.041840260152176, 0, 1, 6, 4, 2, 3, 5,
